TripID,Questionnaire,Income,Gender,Age,Occupation,Education,HouseHoldSize,HouseHold16,driversLicense,carAvail,OriginLoc,DestLoc,startActiv,endActiv,tripStart_time,tripDuration,TripDay,realTravelTime.Walk,realShortestDistance.Walk,realTravelTime.Car,realShortestDistance.Car,realTravelTime.MrC,realShortestDistance.MrC,realTravelTime.Bus,realShortestDistance.Bus,realAccessWalkTime.Bus,realAccessWalkDist.Bus,realEgressWalkTime.Bus,realEgressWalkDist.Bus,mode
1,2,20000-30000,Female,45-54,Employed,Lyceum,4,4,1,TRUE,1,2,Home,Shopping,0.42,40,2,2615,3517,785,4763,785,4763,1433,4763,122,158,43,60,Bus
2,2,20000-30000,Female,45-54,Employed,Lyceum,4,4,1,TRUE,2,3,Shopping,Home,0.54,50,2,2648,3517,610,3649,610,3649,1378,3649,45,60,166,231,Bus
3,3,10000-20000,Female,65+,Retired,HighSchool,3,3,0,FALSE,1,2,Home,Shopping,0.43,10,2,1249,1580,278,1631,278,1631,799,278,176,804,623,822,Walk
5,4,10000-20000,Female,35-44,Employed,Lyceum,4,2,1,TRUE,1,2,Home,Work,0.5,20,2,985,1351,354,1816,354,1816,662,1816,198,265,147,214,Car
6,4,10000-20000,Female,35-44,Employed,Lyceum,4,2,1,TRUE,2,3,Work,Shopping,0.65,15,2,1095,1460,241,1460,241,1460,572,1460,214,305,180,231,Car
8,7,30000-40000,Female,16-24,Student,Lyceum,3,3,0,FALSE,1,2,Home,Leisure,0.71,60,2,761,1018,171,1018,171,1018,317,1018,46,55,37,47,Car
10,9,<10000,Female,55-64,Retired,PrimarySchool,2,2,0,FALSE,1,2,Home,OtherMeetings,0.75,20,2,1620,2084,412,2462,412,2462,1230,2462,433,616,142,195,Bus
11,9,<10000,Female,55-64,Retired,PrimarySchool,2,2,0,FALSE,2,3,OtherMeetings,Home,0.83,25,2,1582,2084,438,2496,438,2496,1153,2496,126,163,463,626,Bus
12,11,<10000,Male,35-44,Employed,Lyceum,3,2,1,TRUE,1,2,Home,Work,0.42,30,2,12527,16699,1128,20810,1128,20810,3894,20810,184,251,137,229,Car
13,11,<10000,Male,35-44,Employed,Lyceum,3,2,1,TRUE,2,3,Work,Home,0.58,30,2,12230,16699,1053,20244,1053,20244,3269,20244,252,423,193,252,Car
16,12,<10000,Female,25-34,Houseworks,Lyceum,2,2,0,TRUE,3,4,Home,Leisure,0.88,10,2,1116,1517,344,1845,344,1845,737,1845,358,492,74,90,Car
18,14,30000-40000,Male,65+,Retired,University,2,2,1,TRUE,1,2,Home,Home,0.42,135,2,15976,21820,1682,22841,1682,22841,4628,22841,203,268,149,156,Car
19,14,30000-40000,Male,65+,Retired,University,2,2,1,TRUE,2,3,Home,Home,0.54,15,2,16224,21819,1548,22750,1548,22750,4505,22750,844,1185,96,120,Car
20,15,<10000,Male,45-54,Employed,University,2,2,1,TRUE,1,2,Home,Work,0.42,15,2,2622,3402,656,3613,656,3613,1385,3613,538,724,110,124,Car
21,15,<10000,Male,45-54,Employed,University,2,2,1,TRUE,2,3,Work,Work,0.48,20,2,2582,3353,571,3864,571,3864,1197,3864,681,3295,516,671,Car
22,15,<10000,Male,45-54,Employed,University,2,2,1,TRUE,3,4,Work,Home,0.55,15,2,1044,1428,313,1428,313,1428,764,1428,386,1133,378,521,Car
26,18,10000-20000,Female,35-44,Employed,Lyceum,5,2,1,TRUE,1,2,Home,Work,0.36,20,2,2750,3498,554,3497,554,3497,2180,3497,667,1002,70,117,Car
27,18,10000-20000,Female,35-44,Employed,Lyceum,5,2,1,TRUE,2,3,Work,PersonalActivities,0.63,20,2,4235,5931,1126,6651,1126,6651,2133,6651,1826,6542,307,411,Car
29,19,10000-20000,Female,25-34,Employed,MSc,2,2,1,TRUE,1,2,Home,Work,0.63,40,2,5292,7794,1218,10750,1218,10750,2530,10750,359,620,671,833,Car
30,19,10000-20000,Female,25-34,Employed,MSc,2,2,1,TRUE,2,3,Work,Work,0.67,40,2,2728,3586,1069,5159,1069,5159,1378,5159,446,632,98,136,Car
31,19,10000-20000,Female,25-34,Employed,MSc,2,2,1,TRUE,3,4,Work,Work,0.71,15,2,2286,3063,550,3388,550,3388,1610,3388,218,312,144,210,Car
32,19,10000-20000,Female,25-34,Employed,MSc,2,2,1,TRUE,4,5,Work,Leisure,0.73,15,2,8230,9972,1022,10901,1022,10901,2870,10901,701,3039,58,66,Car
